Year,Month,Date,YearMonth,A,B,C,D,E,F,G,H,I,J,K,L,M,N
2018,1,2018-01-01,2018 Jan,NA,NA,122,NA,NA,300,325,NA,5105,114,0,443,NA,NA
2018,2,2018-02-01,2018 Feb,NA,NA,767,NA,NA,1160,3554,NA,17437,281,908,1098,426,NA
2018,3,2018-03-01,2018 Mar,NA,NA,3367,NA,NA,2925,4775,NA,17135,1083,3897,1432,1158,NA
2018,4,2018-04-01,2018 Apr,NA,NA,2856,NA,NA,1075,3214,NA,13517,556,1589,900,1213,NA
2018,5,2018-05-01,2018 May,NA,NA,2900,NA,12462,1155,5934,NA,31512,694,1608,1002,1437,NA
2018,6,2018-06-01,2018 Jun ,NA,NA,3022,NA,NA,700,5547,NA,17137,528,2459,1257,1807,NA
2018,7,2018-07-01,2018 Jul,3150,6701,3733,NA,8178,1680,2442,NA,21422,583,1003,2782,2058,NA
2018,8,2018-08-01,2018 Aug,3800,6884,2867,NA,NA,2730,3894,NA,18337,617,1532,2482,2641,NA
2018,9,2018-09-01,2018 Sep,3290,2689,1497,NA,NA,1820,5393,6347,7252,556,1438,2720,2564,NA
2018,10,2018-10-01,2018 Oct,3045,564,1750,NA,NA,490,2287,NA,5057,533,624,1136,573,NA
2018,11,2018-11-01,2018 Nov,1225,57,894,NA,NA,315,804,933,7182,NA,435,409,109,NA
2018,12,2018-12-01,2018 Dec,1225,521,739,NA,6567,350,1530,1260,7187,362,435,620,287,NA
2019,1,2019-01-01,2019 Jan,880,817,1156,NA,4533,280,1190,653,4760,395,908,873,402,NA
2019,2,2019-02-01,2019 Feb,1365,822,1444,NA,8895,280,1854,1447,8592,424,1930,541,195,NA
2019,3,2019-03-01,2019 Mar,1190,1025,814,364,3171,980,1746,1680,2053,272,473,732,407,NA
2019,4,2019-04-01,2019 Apr,1160,1715,817,321,4467,2415,4898,5320,2785,203,2686,252,993,NA
2019,5,2019-05-01,2019 May,1880,2078,739,600,3538,1610,7294,3173,4512,2295,10443,NA,1498,NA
2019,6,2019-06-01,2019 Jun ,1330,1710,933,329,629,1750,7139,3873,2805,4132,611,2575,1042,NA
2019,7,2019-07-01,2019 Jul,1295,1023,450,464,1138,350,6305,4667,2175,1284,351,NA,1660,NA
2019,8,2019-08-01,2019 Aug,1195,1137,NA,193,105,NA,1823,2053,1767,1726,259,1245,602,NA
2019,9,2019-09-01,2019 Sep,NA,0,NA,64,176,140,1174,1120,2392,1688,643,0,228,NA
2019,10,2019-10-01,2019 Oct,NA,0,NA,114,148,0,1020,0,0,182,0,0,0,NA
2019,11,2019-11-01,2019 Nov,NA,0,NA,157,90,0,371,0,0,13,0,0,49,NA
2019,12,2019-12-01,2019 Dec,NA,0,NA,0,38,0,247,0,0,0,0,0,0,NA
2021,1,2021-01-01,2021 Jan,NA,NA,156,160,100,510,1097,0,1225,80,346,155,491,NA
2021,2,2021-02-01,2021 Feb,NA,NA,233,100,143,850,912,60,958,200,1186,773,665,NA
2021,3,2021-03-01,2021 Mar,NA,NA,622,214,343,4080,1607,60,1612,533,595,318,759,NA
2021,4,2021-04-01,2021 Apr,NA,NA,1011,236,752,3570,2318,467,1660,879,2259,386,1007,NA
2021,5,2021-05-01,2021 May,NA,NA,544,300,1057,6970,5826,443,2110,1614,3805,618,2294,NA
2021,6,2021-06-01,2021 Jun ,NA,NA,1322,214,1581,5600,19934,3383,2331,1772,9330,920,1165,2900
2021,7,2021-07-01,2021 Jul,NA,NA,1244,450,790,85,14124,3080,4021,NA,9330,11364,2013,2629
2021,8,2021-08-01,2021 Aug,NA,NA,78,271,667,325,7340,2000,2475,NA,1697,9836,2043,6557
2021,9,2021-09-01,2021 Sep,NA,NA,622,93,462,200,4234,1773,4054,NA,1427,2036,914,8871
2021,10,2021-10-01,2021 Oct,NA,NA,156,286,NA,0,2611,1633,2473,761,654,2045,1126,9871
2021,11,2021-11-01,2021 Nov,NA,NA,78,164,NA,0,340,420,1137,180,59,114,100,1971
2021,12,2021-12-01,2021 Dec,NA,NA,0,236,NA,0,865,0,1160,175,357,1023,269,700
2022,1,2022-01-01,2022 Jan,521,NA,0,207,NA,495,804,0,638,422,535,386,265,3771
2022,2,2022-02-01,2022 Feb,793,NA,0,179,NA,670,2704,373,906,712,357,59,223,2514
2022,3,2022-03-01,2022 Mar,2082,NA,156,157,NA,1720,3940,1167,1354,953,1903,109,966,3600
2022,4,2022-04-01,2022 Apr,3064,NA,NA,129,NA,3065,9210,827,3454,1192,0,623,1830,4714
2022,5,2022-05-01,2022 May,3014,NA,NA,371,NA,2760,7649,2047,4815,953,9173,1202,3051,2829
2022,6,2022-06-01,2022 Jun ,3000,NA,NA,543,NA,2400,7448,NA,NA,1063,3097,1330,3509,1257
2022,7,2022-07-01,2022 Jul,2129,NA,NA,464,NA,2520,2411,NA,NA,455,NA,3366,1701,2200
2022,8,2022-08-01,2022 Aug,2807,NA,NA,464,NA,2550,2797,NA,NA,458,NA,7750,2683,1571
2022,9,2022-09-01,2022 Sep,1239,NA,NA,321,NA,1905,1684,NA,NA,367,NA,4066,1216,1571
2022,10,2022-10-01,2022 Oct,446,NA,NA,350,NA,800,448,NA,NA,202,NA,NA,174,1571
2022,11,2022-11-01,2022 Nov,900,NA,NA,507,NA,NA,649,NA,NA,385,357,NA,356,2200
2022,12,2022-12-01,2022 Dec,964,NA,NA,321,NA,NA,587,NA,NA,257,119,NA,348,314
